id,time,group,OTU.1,OTU.2,OTU.3,OTU.4,OTU.5,OTU.6,OTU.7,OTU.8,OTU.9,OTU.10,OTU.11,OTU.12,OTU.13,OTU.14,OTU.15,OTU.16,OTU.17,OTU.18,OTU.19,OTU.20,OTU.21,OTU.22,OTU.23,OTU.24,OTU.25,OTU.26,OTU.27,OTU.28,OTU.29,OTU.30,OTU.31,OTU.32,OTU.33,OTU.34
s02,11,Case,0.002037905,0.034746281,0.001222743,0.001426534,0.000407581,0.002343591,0.318422662,0,0.000611372,0.088954555,0.007438353,0.001426534,0.003056858,0.000815162,0.000305686,0.012940697,0.038006929,0.00193601,0.002445486,0.114122682,0.009272468,0.000203791,0.000713267,0,0.286427553,0.017933564,0.019869574,0.01008763,0.00387202,0,0.015386183,0.000611372,0,0.002954962
s02,12,Case,0.041795414,0.011546593,0.001138397,0.000162628,0,0.002602049,0.316148967,0,0.001301025,0.208163929,0,0,0.000650512,0.000162628,0.000325256,0.000487884,0.157911856,0.001301025,0.003577818,0.000325256,0.000162628,0.000487884,0.000975768,0,0.183444463,0.036591316,0.007155635,0,0,0,0.01935274,0.00081314,0,0.00341519
s03,1,Case,0.005327869,0.02704918,0.00204918,0.003278689,0.00204918,0.001639344,0.739344262,0,0.00204918,0.035655738,0.004098361,0.001229508,0,0,0,0.006147541,0.018852459,0,0,0,0,0,0,0,0.021311475,0.007377049,0.074590164,0.008196721,0.005737705,0.004508197,0.027868853,0,0.000819672,0.000819672
s03,2,Case,0.005346841,0.009427325,0.001125651,0.003939778,0.002251302,0.002954833,0.348811031,0.00576896,0.00309554,0.01618123,0.001125651,0.003236246,0,0.000844238,0.005346841,0.001407064,0.124806529,0.000281413,0.000281413,0.007457436,0.000422119,0.000422119,0.000844238,0,0.290417898,0.010834389,0.02195019,0.050513578,0.043618967,0.002251302,0.033910229,0,0.000281413,0.000844238
s03,3,Case,0.00076558,0,0.000153116,0.000306232,0.001071811,0,0.320318481,0,0,0.006583984,0.00076558,0.000459348,0,0,0,0.000459348,0.0538968,0,0,0,0.000459348,0.000306232,0.000153116,0,0.525493799,0.021895575,0.033838616,0.000306232,0,0,0.026795284,0,0.005665289,0.000306232
s03,4,Case,0.000622433,0,0.000124487,0.000995892,0,0.000871406,0.235901905,0,0,0.002863189,0.000622433,0,0,0,0.007718163,0.001369351,0.145026765,0.000124487,0,0.00037346,0.001991784,0.000124487,0,0,0.509149757,0.005601892,0.03585211,0.005477406,0.001742811,0,0.028133948,0,0.014689406,0.000622433
s03,5,Case,0.005819411,0.027720418,0.001188912,0.005256242,0.000938615,0.002502972,0.162255178,0.008697829,0.001814655,0.011576247,0.002252675,0.001439209,6.26E-05,0.000813466,0.001188912,0.000250297,0.287966961,0.000688317,0.000125149,0.000375446,0,0.00043802,0.002190101,0,0.401977348,0.003817033,0.003316438,0.027094675,0.034040423,0.001376635,0.002628121,0,0,0.000187723
s03,6,Case,0.00230571,0.01451241,0.00122067,0.00230571,0.00189882,0.00067815,0.279940323,0,0.00040689,0.00447579,0.00501831,0.00094941,0,0,0,0.00081378,0.087345721,0.00027126,0,0,0,0,0,0.00013563,0.535738505,0.00352638,0.03458565,0.00610335,0.01288485,0,0.0040689,0,0,0.00081378
s03,7,Case,0.005106185,0.004061738,0.000348149,0.000464199,0.000696298,0.001508646,0.196239991,0.008587676,0.000232099,0.032261808,0.004641987,0.000348149,0,0.00011605,0.002204944,0,0.124753395,0,0,0.000348149,0.000348149,0.000464199,0.000348149,0,0.531391436,0.000580248,0.025995126,0.037600093,0.006498782,0,0.013693861,0,0.000464199,0.000696298
s03,8,Case,0.010829456,0.03553666,0.001283491,0.003048291,0.002246109,0.002406546,0.288544842,0.009706401,0.015482111,0.003850473,8.02E-05,0.005374619,8.02E-05,0.0017648,0,0.000240655,0.151451949,0.001203273,0.000320873,0.000962618,0,0.000240655,0.000320873,0.000320873,0.295523825,0.018771057,0.013075566,0.093053104,0.029841168,0.001845019,0.008583347,0.001203273,0.001845019,0.000962618
s03,9,Case,0.003648367,0.00990271,0.001216122,0.003474635,0.002258513,0.002432245,0.371785963,0.000347464,0.001216122,0.00295344,0.007123002,0.003127172,0,0.000347464,0,0.000173732,0.120048645,0,0.000521195,0,0,0.001216122,0.001042391,0.001042391,0.319492703,0.014246004,0.041174427,0.038742182,0.034051425,0.002779708,0.007296734,0,0.002258513,0.006080612
s03,10,Case,0.001228753,0.007986893,0.000409584,0.00051198,0.000409584,0.001023961,0.335654311,0.00286709,0.001433545,0.044951874,0.020172025,0.001228753,0,0,0,0,0.212983821,0.000204792,0.000204792,0.001433545,0.000102396,0.000102396,0.000204792,0.000307188,0.261109973,0.025496621,0.032049969,0.012594716,0.00235511,0,0.023346304,0.001535941,0.006962933,0.001126357
s03,11,Case,0.002471424,0,0.001235712,0.003707136,0,0,0.319740501,0,0.000617856,0,0.000308928,0.000617856,0,0,0,0,0.232004943,0,0,0,0.001235712,0,0,0.002780352,0.197405005,0.015446401,0.053444547,0.004942848,0.006796416,0,0.150756874,0,0.003707136,0.002780352
s03,12,Case,0.015937732,0.009019026,0.000617742,0.000617742,0.000494193,0.00074129,0.353965901,0,0.000617742,0.03792933,0.011984186,0.000617742,0,0.000123548,0.003459353,0.001729676,0.325796887,0.000370645,0.000247097,0.00148258,0.000370645,0.000494193,0.000370645,0.000494193,0.134914752,0.014331604,0.030392884,0.010501606,0.015937732,0,0.015072894,0,0.009389671,0.001976773
s04,1,Case,0.011195377,0.050680149,0.000963043,0.001203804,0.017094017,0.055976887,0.028650536,0.001083424,0.017094017,0.094498616,0.027928253,0.008667389,0.042975804,0.002287228,0.018418202,0.004815216,0.303478994,0.001203804,0.001805706,0.027446732,0.004333695,0.000481522,0.000481522,0.011195377,0.000842663,0.003852173,0.00890815,0.092572529,0.040086674,0.001444565,0.083543999,0.029132057,0,0.005657879
s04,2,Case,0.002565564,0.027080958,0.000285063,0.002565564,0.004561003,0.187856328,0.002280502,0,0.00627138,0.014253136,0.088654504,0.004275941,0.007126568,0.007126568,0.151368301,0.019099202,0.15336374,0,0.000855188,0.111174458,0.012542759,0,0,0.012542759,0.000570125,0.017673888,0.002850627,0.028791334,0.007981756,0.003420753,0.097776511,0.018529076,0,0.006556442
s04,3,Case,0.000503018,0.025150905,0,0.002515091,0,0.001006036,0.088028169,0,0,0.331488934,0.191649899,0.000503018,0,0.001006036,0,0.057344064,0.173038229,0,0.002012072,0.012575453,0,0,0,0.01861167,0.015090543,0.030684105,0.003521127,0.015593561,0.001509054,0,0.002515091,0.019114688,0,0.006539235
s04,4,Case,0.001894737,0.064210526,0,0.003578947,0.019157895,0.015789474,0.144210526,0.000421053,0.000210526,0.019789474,0.012210526,0.022526316,0.000210526,0.012421053,0.116842105,0.068631579,0.241473684,0.000842105,0.008631579,0,0.018736842,0.000631579,0.000842105,0.001473684,0,0.024,0.010105263,0.10631579,0.016210526,0.002736842,0.061052632,0.004842105,0,0
s04,5,Case,0.013411079,0.041982507,0,0,0.012244898,0.01516035,0.264723032,0,0.026239067,0.002332362,0.005247813,0.03090379,0.040233236,0.01516035,0,0.220408163,0.020408163,0.003498542,0.009329446,0.00058309,0,0,0.00058309,0.016326531,0,0.044897959,0.034985423,0.13819242,0.012244898,0,0.011661808,0.019241983,0,0
s04,6,Case,0.001968504,0.036089239,0,0,0.001968504,0.028871391,0.290682415,0,0.000656168,0.143700787,0.232939633,0.000656168,0,0.000656168,0.027559055,0.012467192,0.029527559,0,0.00328084,0,0.002624672,0,0,0,0.033464567,0.040026247,0.017060368,0.031496063,0.004593176,0,0.042650919,0.017060368,0,0
s04,7,Case,0.001431298,0.071087786,0,0.00023855,0.007156489,0.040791985,0.384303435,0,0.001669847,0.1875,0.029580153,0.001908397,0.001908397,0.003339695,0,0.015267176,0.000715649,0.000954199,0.007395038,0,0,0,0.00023855,0.019322519,0.015028626,0.027671756,0.044370229,0.086593512,0.004055344,0.001669847,0.020276718,0.014551527,0,0.010973282
s04,8,Case,0.001017442,0.017151163,0,0.000726744,0.001598837,0.044186047,0.200145349,0.001744186,0.001744186,0.049854651,0.039098837,0.001598837,0.004069767,0.001744186,0.111773256,0,0.32005814,0.000726744,0.007412791,0,0.013662791,0.000290698,0.000145349,0.005377907,0.006395349,0.019912791,0.006104651,0.07122093,0.005087209,0.001889535,0.052325581,0.010319767,0,0.002616279
s04,9,Case,0.00650289,0.056117534,0.000240848,0.006021195,0.006021195,0.056840077,0.275289017,0,0.021435453,0.023603083,0.047447014,0.00433526,0.010356455,0.003371869,0.014932563,0.092244701,0.125240848,0.000963391,0.000481696,0.001926782,0,0,0.000963391,0.021194605,0.001445087,0.004094412,0.073699422,0.063583815,0.009152216,0.004576108,0.036608863,0.021435453,0,0.009874759
s04,10,Case,0.0078125,0.021792763,0,0,0.00287829,0.052220395,0.057976974,0,0.00287829,0.434210526,0.018092105,0.002467105,0,0.000411184,0.046875,0.009457237,0.020148026,0.000411184,0.001233553,0.015213816,0.015625,0,0,0,0,0.011513158,0.000411184,0.013980263,0.024671053,0.004934211,0.217927632,0.016858553,0,0
s04,11,Case,0.004047559,0.053630154,0.00101189,0.002529724,0.015937263,0.076397673,0.000758917,0.000505945,0.005818366,0.103971667,0.267391854,0.012142676,0.008601063,0.001264862,0.032127498,0.029597774,0.254237288,0.001517835,0.003541614,0.000252972,0.000758917,0,0.00101189,0,0.006324311,0.004806476,0.000252972,0.0688085,0.02504427,0.003541614,0.013913483,0.000252972,0,0
s04,12,Case,0.004357042,0.06252944,0.000353274,0.002472916,0.006005652,0.061705134,0.038389072,0.000353274,0.017192652,0.322656618,0.005887895,0.007300989,0.010009421,0.004828074,0.025906736,0.022138483,0.260362694,0.001295337,0.002708432,0.001766368,0.001766368,0.000235516,0.000588789,0.005416863,0.002001884,0.012011305,0.028497409,0.06582666,0.009538389,0.001530853,0.009773905,0.003768253,0,0.000824305
s05,1,Case,0.01289304,0.045125641,0.001710301,0.005262466,0.000526247,0.053282463,0.368241021,0.002104986,0.002631233,0.001973425,0.004209972,0.009604,0.005130904,0.008419945,0.031969478,0.009077753,0.137613472,0.000263123,0.003815288,0,0.00078937,0.002236548,0.00078937,0,0.000131562,0.00723589,0.078410735,0.137613472,0.036705697,0.004999342,0.008551506,0.000394685,0,0.018287068
s05,2,Case,0.008155868,0.008608972,0.001359311,0.003171726,0,0.003171726,0.19030358,0.002718623,0,0.041232442,0.004984141,0.004984141,0,0,0.08790213,0.006343453,0.10240145,0,0,0,0.11327594,0.000453104,0,0,0.008608972,0.002265519,0.108291799,0.025826914,0.033982782,0,0.194834617,0,0,0.047122791
s05,3,Case,0.019634167,0.023493875,0.001510321,0.007215976,0,0.005370029,0.244839738,0.001342507,0,0.005873469,0.009565363,0.001174694,0.000335627,0.006880349,0.023829502,0.004027521,0.285786206,0.000167813,0.003859708,0,0.006712536,0.003859708,0.003020641,0,0.013760698,0.004027521,0.062090955,0.078033227,0.017956033,0,0.152206746,0,0.000167813,0.013257258
s05,4,Case,0.103284935,0.034085058,0.001132736,0.007105345,0.000720832,0.023684482,0.267840593,0.000823808,0.001956544,0.011636289,0.002677376,0.008341057,0.002677376,0.00463392,0.061064772,0.00463392,0.154772938,0.000411904,0.003501184,0,0.141489033,0.001853568,0.002986304,0,0.013592833,0.015549377,0.00308928,0.087838534,0.012974977,0.002780352,0.021316033,0,0.000205952,0.001338688
s05,5,Case,0.073419301,0.061356073,0.001663894,0.00187188,0.000415973,0.03140599,0.142470882,0.00062396,0.001663894,0.000415973,0,0.009567388,0.000415973,0,0.090266223,0,0.09047421,0,0,0,0.237312812,0,0.004159734,0,0.007903494,0.004159734,0.005823627,0.013311148,0.063227953,0.002911814,0.129783694,0,0,0.025374376
